# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
PE_PGRS54	Rv3508	Rv3508	protein_coding	0	1	4	6	0	0	0	0	4	0	4	0	0	0	0	0	1	2
PE_PGRS55	Rv3511	Rv3511	protein_coding	0	0	3	15	0	1	0	0	11	0	2	0	0	0	0	0	0	4
PE_PGRS56	Rv3512	Rv3512	protein_coding	0	0	1	14	0	0	1	0	1	0	0	0	0	0	0	0	0	13
PE_PGRS57	Rv3514	Rv3514	protein_coding	0	1	0	15	0	0	0	0	1	0	0	0	0	0	0	0	1	14
PE_PGRS58	Rv3590c	Rv3590c	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
PE_PGRS59	Rv3595c	Rv3595c	protein_coding	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	2
PE_PGRS6	Rv0532	Rv0532	protein_coding	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2
PE_PGRS60	Rv3652	Rv3652	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PE_PGRS61	Rv3653	Rv3653	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PE_PGRS62	Rv3812	Rv3812	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PE_PGRS7	Rv0578c	Rv0578c	protein_coding	0	2	0	3	0	0	0	0	3	0	0	0	0	0	0	0	2	0
PE_PGRS9	Rv0746	Rv0746	protein_coding	0	3	6	15	0	0	0	0	14	0	6	0	0	0	0	0	3	1
PPE1	Rv0096	Rv0096	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PPE10	Rv0442c	Rv0442c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PPE11	Rv0453	Rv0453	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PPE12	Rv0755c	Rv0755c	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2
PPE13	Rv0878c	Rv0878c	protein_coding	1	0	0	3	0	0	0	0	2	1	0	0	0	0	0	0	0	1
PPE14	Rv0915c	Rv0915c	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
PPE15	Rv1039c	Rv1039c	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4
PPE16	Rv1135c	Rv1135c	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PPE17	Rv1168c	Rv1168c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PPE18	Rv1196	Rv1196	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PPE19	Rv1361c	Rv1361c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PPE2	Rv0256c	Rv0256c	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	3
PPE20	Rv1387	Rv1387	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PPE21	Rv1548c	Rv1548c	protein_coding	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	3
PPE22	Rv1705c	Rv1705c	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
PPE23	Rv1706c	Rv1706c	protein_coding	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1
PPE24	Rv1753c	Rv1753c	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
PPE25	Rv1787	Rv1787	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PPE26	Rv1789	Rv1789	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PPE27	Rv1790	Rv1790	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PPE28	Rv1800	Rv1800	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	3
PPE29	Rv1801	Rv1801	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
PPE3	Rv0280	Rv0280	protein_coding	0	0	1	40	0	0	0	0	1	0	1	0	0	0	0	0	0	39
PPE30	Rv1802	Rv1802	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
PPE32	Rv1808	Rv1808	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	3
PPE33	Rv1809	Rv1809	protein_coding	0	1	1	4	0	0	0	0	2	0	1	0	0	0	0	0	1	2
PPE34	Rv1917c	Rv1917c	protein_coding	0	5	5	2	0	0	0	0	0	0	5	0	0	0	0	0	5	2
PPE35	Rv1918c	Rv1918c	protein_coding	0	0	1	11	0	0	0	0	10	0	1	0	0	0	0	0	0	1
PPE36	Rv2108	Rv2108	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PPE37	Rv2123	Rv2123	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PPE38	Rv2352c	Rv2352c	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	1
PPE39	Rv2353c	Rv2353c	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
PPE4	Rv0286	Rv0286	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PPE42	Rv2608	Rv2608	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
PPE43	Rv2768c	Rv2768c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PPE44	Rv2770c	Rv2770c	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2
PPE45	Rv2892c	Rv2892c	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PPE46	Rv3018c	Rv3018c	protein_coding	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	15
PPE49	Rv3125c	Rv3125c	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PPE5	Rv0304c	Rv0304c	protein_coding	0	1	5	3	0	0	0	0	1	0	5	0	0	0	0	0	1	2
PPE50	Rv3135	Rv3135	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PPE51	Rv3136	Rv3136	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PPE52	Rv3144c	Rv3144c	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PPE53	Rv3159c	Rv3159c	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PPE54	Rv3343c	Rv3343c	protein_coding	0	3	2	2	0	0	0	0	0	0	2	0	0	0	0	0	3	2
PPE55	Rv3347c	Rv3347c	protein_coding	1	3	1	1	0	0	0	0	1	1	1	0	0	0	0	0	3	0
PPE56	Rv3350c	Rv3350c	protein_coding	0	2	2	3	0	0	0	0	3	0	2	0	0	0	0	0	2	0
PPE57	Rv3425	Rv3425	protein_coding	0	1	1	13	0	0	0	0	11	0	1	0	0	0	0	0	1	2
PPE58	Rv3426	Rv3426	protein_coding	1	2	3	9	0	0	0	0	5	1	3	0	0	0	0	0	2	4
PPE59	Rv3429	Rv3429	protein_coding	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	13
PPE6	Rv0305c	Rv0305c	protein_coding	1	0	0	7	0	0	0	0	6	1	0	0	0	0	0	0	0	1
PPE60	Rv3478	Rv3478	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	2
PPE61	Rv3532	Rv3532	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PPE64	Rv3558	Rv3558	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PPE65	Rv3621c	Rv3621c	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
PPE66	Rv3738c	Rv3738c	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
PPE67	Rv3739c	Rv3739c	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
PPE68	Rv3873	Rv3873	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
PPE69	Rv3892c	Rv3892c	protein_coding	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1
PPE7	Rv0354c	Rv0354c	protein_coding	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
PPE8	Rv0355c	Rv0355c	protein_coding	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0
RV1984a	RV1984a	RV1984a	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv0004	Rv0004	Rv0004	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	2
Rv0007	Rv0007	Rv0007	protein_coding	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	4
Rv0008c	Rv0008c	Rv0008c	protein_coding	0	0	1	6	0	0	0	0	4	0	1	0	0	0	0	0	0	2
Rv0010c	Rv0010c	Rv0010c	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
Rv0011c	Rv0011c	Rv0011c	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
Rv0012	Rv0012	Rv0012	protein_coding	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	3
Rv0021c	Rv0021c	Rv0021c	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv0023	Rv0023	Rv0023	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv0024	Rv0024	Rv0024	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
Rv0025	Rv0025	Rv0025	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
Rv0026	Rv0026	Rv0026	protein_coding	1	0	0	3	0	0	0	0	2	1	0	0	0	0	0	0	0	1
Rv0027	Rv0027	Rv0027	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Rv0028	Rv0028	Rv0028	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Rv0029	Rv0029	Rv0029	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
Rv0030	Rv0030	Rv0030	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
Rv0034	Rv0034	Rv0034	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2
Rv0036c	Rv0036c	Rv0036c	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv0037c	Rv0037c	Rv0037c	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv0038	Rv0038	Rv0038	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv0039c	Rv0039c	Rv0039c	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv0042c	Rv0042c	Rv0042c	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv0043c	Rv0043c	Rv0043c	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv0047c	Rv0047c	Rv0047c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv0048c	Rv0048c	Rv0048c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv0049	Rv0049	Rv0049	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Rv0051	Rv0051	Rv0051	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv0052	Rv0052	Rv0052	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv0057	Rv0057	Rv0057	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Rv0059	Rv0059	Rv0059	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv0060	Rv0060	Rv0060	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv0061c	Rv0061c	Rv0061c	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Rv0063	Rv0063	Rv0063	protein_coding	0	0	0	8	0	0	0	0	6	0	0	0	0	0	0	0	0	2
Rv0063a	Rv0063a	Rv0063a	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0
Rv0064	Rv0064	Rv0064	protein_coding	0	1	4	2	0	0	0	0	2	0	4	0	0	0	0	0	1	0
Rv0067c	Rv0067c	Rv0067c	protein_coding	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	2
Rv0068	Rv0068	Rv0068	protein_coding	0	0	1	6	0	0	0	0	2	0	1	0	0	0	0	0	0	4
Rv0071	Rv0071	Rv0071	protein_coding	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv0072	Rv0072	Rv0072	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv0073	Rv0073	Rv0073	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv0074	Rv0074	Rv0074	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv0075	Rv0075	Rv0075	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv0076c	Rv0076c	Rv0076c	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv0078A	Rv0078A	Rv0078A	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv0078B	Rv0078B	Rv0078B	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv0079	Rv0079	Rv0079	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv0080	Rv0080	Rv0080	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv0081	Rv0081	Rv0081	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv0082	Rv0082	Rv0082	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv0083	Rv0083	Rv0083	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Rv0088	Rv0088	Rv0088	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv0093c	Rv0093c	Rv0093c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv0094c	Rv0094c	Rv0094c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv0095c	Rv0095c	Rv0095c	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv0097	Rv0097	Rv0097	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv0100	Rv0100	Rv0100	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv0102	Rv0102	Rv0102	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv0104	Rv0104	Rv0104	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv0106	Rv0106	Rv0106	protein_coding	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1
Rv0108c	Rv0108c	Rv0108c	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Rv0110	Rv0110	Rv0110	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	3
Rv0111	Rv0111	Rv0111	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Rv0121c	Rv0121c	Rv0121c	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv0122	Rv0122	Rv0122	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv0123	Rv0123	Rv0123	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv0128	Rv0128	Rv0128	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv0146	Rv0146	Rv0146	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv0147	Rv0147	Rv0147	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
